question,correct,option1,option2,option3
Nepohlavní rozmnožování je:,je výhodné ve stabilních podmínkách životního prostředí,založené na meiotickém buněčném dělení,vede ke vzniku geneticky variabilního potomstva,je výhodné v podmínkách dynamicky se měnícího prostředí
Meiotické buněčné dělení je realizováno v souvislosti:,s tvorbou pohlavních buněk — gamet,s obnovou tkání živočichů,s dělivou činností meristematických pletiv rostlin,raným embryonálním vývojem
Pojmu gameta u člověka vyhovuje následující tvrzení:,haploidní buňka vznikající meiotickým dělením,haploidní buňka vznikající mitotickým dělením,diploidní buňka vznikající meiotickým dělením,gameta člověka obsahuje 46 chromozómů
Chromozómy eukaryotické buňky,obsahují DNA ve vazbě na histonová jádra,jsou kružnicového charakteru,obsahují současně DNA a RNA,jsou v jádře patrné po celou dobu buněčného cyklu
Kvantitativní znaky:,jsou charakteristické složitou dědičností a plynulou proměnlivostí,jsou charakteristické monogenní dědičností,nejsou ovlivňovány vnějším prostředím,jsou například tvar a barva zrna hrachu
Jedinec heterogametického pohlaví:,určuje potenciální poměr pohlaví v potomstvu 1:1,máv karyotypu dva pohlavní chromozómy X,je v případě člověka žena,nerozhoduje geneticky o pohlaví svých potomků
Dědičnost křížem je charakteristická pro geny:,lokalizované v nehomologní části gonozómu X,lokalizované na autozomech,lokalizované na gonozómech obecně,lokalizované v nehomologní části gonozómu Y
O pojmu dominantní homozygot platí následující tvrzení:,"jedinec, který při neúplné dominanci vykazuje jiný fenotyp než heterozygot",jedinec vytvářející dva typy gamet v rámci sledovaného genu,"jedinec, který v rámci svého potomstva zajišťuje genetickou variabilitu","jedinec, který ve sledovaném genu obsahuje dvě alely nestejné kvality"
případě křížení homozygota s heterozygotem:,potomstvo štěpí v genotypu v poměru 1:1,vždy se dostavuje fenotypová uniformita potomstva,vždy se dostavuje genotypová uniformita potomstva,genotypová uniformita se dostavuje pouze v případě úplné dominance
"Pokud potomstvo štěpí ve fenotypu na čtyři fenotypové kombinace v poměru 9:3:3:1, platí:",rodiči byli dva dihybridi při úplné dominanci projevu obou sledovaných znaků,spatne,rodiči byl dihybrid a recesivní homozygot,rodiči byli dva dihybridi při neúplné dominanci dominantního projevu sledovaných znaků
Pojem inbreeding u zvířat vyjadřuje:,páření příbuzných jedinců,náhodné křížení v populaci,křížení nepříbuzných jedinců v rámci druhu,vzdálené křížení mezi druhy
Heritabilita je:,míra dědivosti určující podíl genetické proměnlivosti na celkové fenotypové proměnlivosti kvantitativních znaků,míra dědivosti určující podíl vnějších vlivů na fenotypové variabilitě kvantitativních znaků,zvýšení životaschopnosti potomstva oproti Životaschopnosti rodičů,schopnost přenášet vlastnosti na potomstvo beze změny
Karyotyp člověka představuje,genetickou výbavu somatické buňky sestávající z 22 párů autozómů a jednoho páru gonozómů,genetickou výbavu somatické buňky sestávající ze 46 párů chromozómů,genetickou výbavu somatické buňky sestávající z 23 párů autozómů a jednoho páru gonozómů,genetickou výbavu spermie sestávající z 23 párů chromozómů
Downův syndrom je důsledkem:,seskupení tří chromozómů 21 v okamžiku vzniku zygoty,monosomie chromozómu 12,trisomie chromozómu 13,chemického ovlivnění jedince během embryonálního vývoje
Příčinou stability genetické informace eukaryot je:,uložení genetické informace v molekule DNA,uložení genetické informace v molekule RNA,uložení genetické informace ve formě proteinů,translace
Introny jsou:,součástí eukaryotických genů neinformující o struktuře polypeptidu,kódující části eukaryotických genů,součástí prokaryotických genů,součástí genů virů
Strukturní chromozómová aberace typu delece:,představuje ztrátovou mutaci chromozómu v důsledku zlomu,představuje ztrátu chromozómu,představuje nadbytečnost chromozómu,obecně nepůsobí negativně na vývoj zárodku nesoucího takto mutovaný chromozom
Molekula DNA obsahuje následující pár dusíkatých bází:,adenin — thymin,adenin — guanin,guanin- thymin,cytosin — uracil
Replikace DNA probíhá,v Sfázi buněčného cyklu,v G1 fázi buněčného cyklu,G2 fázi buněčného cyklu,G0 fázi buněčného cyklu
Panmiktická populace je charakteristická:,náhodným křížením a přenosem genů napříč celou populací,křížením příbuzných jedinců,vysokou mírou selekce vůči určitým genotypům,vysokou mírou emigrace
