question,correct,option1,option2,option3
Trávicí soustava ploštěnek:,je vakovitá-slepě končící,není vyvinuta,je zcela průchozí,je vyvinuta pouze u dravých forem,
Tasemnice se vyznačují:,absencí trávicí soustavy,průchozí trávicí soustavou,vakovitou-slepě končící trávicí soustavou,sáním krve a živin pomocí otrněného chobotku (proboscisu),
Trháky šelem jsou tvořeny:,poslední předstoličkou (třeňákem) v horní čelisti a první stoličkou dolní čelisti,posledními stoličkami v horní i dolní čelisti,posledními předstoličkami (třeňáky) v horní i dolní čelisti,poslední stoličkou v horní čelisti a první stoličkou dolní čelisti,
Tropická choroba malárie je roznášena:,komáry rodu Anopheles,mouchami rodu Glossina (Tse-tse),plošticemi rodu Třiatoma (zákeřnice),špatným vzduchem („mal aria“),
Undulující (vlnivá) membrána je charakteristická pro:,bičíkaté prvoky (dříve Mastigophora),kořenonožce/měňavkovce,nálevníky (Ciliophora),výtrusovce (Apicomplexa),
Typem tělní dutiny žížal je:,coelom,schizocoel,pseudocoel,parenchym,
Vzdušné vaky jsou součástí dýchací soustavy,ptáků,vzdušnicovců,savců,ryb,
Běhák vzniká srůstem:,nártních a zánártních kůstek,prstových článku,kostí nártních,kostí zánártních,
Beruška (Asellus) je:,korýš,brouk,blanokřídlý hmyz,dvoukřídlý hmyz,
Čáp bílý (Ciconia ciconia) zimuje:,v jižní Africe,Indii,v Jižní Americe,v Jižní Evropě,
Čich u savců není vyvinut u:,kytovců,hmyzožravců,hlodavců,přežvýkavců,
"Cizopasné prvoky — trypanosomy, kteří způsobují spavou nemoc, lze především prokázat:",v krvi,v moči,ve výkalech,v očích,
Do řádu chudozubí nepatří,krtkovití,lenochodovití,mravenečníkovití,pásovcovití,
Zubní vzorec je:,polovina zubů v horní a dolní čelisti,počet zubů v horní a dolní čelisti,počet zubů v horní čelisti,počet zubů v dolní čelisti,
U přežvýkavců většina symbiotických nálevníků žije v:,bachoru,čepci,knize,slezu,
U ptáků je zachována aorta:,pravá,levá,žádná,obě,
Užitkovým druhem motýla je:,bourec morušový,bekyně mniška,mol šatní,přástevník medvědí,
Vole je rozšířenina:,jícnu,hltanu,svalnatého žaludku,žláznatého žaludku,
Vačnatci žijí:,v Austrálii a v Jižní Americe,pouze v Austrálii,v Austrálii a v Severní Americe,Austrálii a v Africe,
Váha těla lichokopytníků spočívá obvykle na:,3. prstu,1. prstu,2. prstu,4. prstu,
Vitamín „K“ je významný:,antihemorhagický vitamin,antirachitický vitamin,významný pro předcházení gestačním poruchám,významný pro předcházení depresím,
Vylučovací soustava měkkýšů je tvořena:,metanefridiemi,protonefridiemi,Malpigiho trubicemi,nemají vylučovací soustavu
Významný škůdce — háďátko řepné patří mezi:,hlístice,prvoky,ploštěnce,plazy,
Šourek uložený před penisem mají samci,zajícovců,hlodavců,netopýrů,chobotnatců,
U sobů mají parohy:,obě pohlaví,samci,samice,pouze pohlavně aktivní samci,
U žraloků struna hřbetní (chorda dorsalis):,prostupuje souvisle středními otvory těl všech obratlů,není zachována,je zachována pouze u mláďat,je potlačena těly obratlů,
Utajená březost znamená:,oplozené vajíčko se nezahnízdí a jeho vývoj se na několik měsíců zastaví,spermie zůstávají po celou zimu ve vejcovodech samice a k oplození uvolněných vajíček dochází až na jaře,"oplození vajíčko se zahnízdí, ale pozastaví svůj vývoj (tzv. arrested development)",plod se v děloze na určitou dobu (nepříznivého období) přestane vyvíjet,
Tělní dutinu ploštěnců označujeme jako:,schizocoel,pseudocoel,mixocoel,coelom,
Teplota těla ptáků je obvykle:,40°C,25°C,30°C,35°C,
Zavíječ voskový je význačným škůdcem:,uskladněných potravin,sbírek hmyzu,ovocných stromů,jehličnanů,
které části trávicí soustavy jsou tráveny tuky:,v tenkém střevě,v žaludku,v tlustém střevě,ve slinivce břišní,
Zrání spermií savců (mužů) vyžaduje teplotu,"o 4°C nižší, nežj e tělesná teplota","o 4°C vyšší, než je tělesná teplota","o10°C vyšší, než je tělesná teplota","o 10°C nižší, než je tělesná teplota",
Glykolýza je:,"první etapa buněčného dýchání, kdy dochází k odbourání glukózy 6C, na kyselinu pyrohroznovou 3C","druhá etapa buněčného dýchání, kdy je kyselina pyrohroznová odbourána na oxid uhličitý","proces buněčného dýchání, kdy jsou kyselině pyrohroznové odňaty vodíky","proces buněčného dýchání, kdy jsou odebrané vodíky oxidovány v dýchacím řetězci vzdušným kyslíkem na vodu",
Homeostáza je:,stálost vnitřního prostředí,"doba, kdy srdce vhání do velkých tepen určitý objem krve",napnutí pružné stěny velkých tepen,ucpání koronární cévy,
Antirachitický vitamin je vitamin:,D,A ,E ,K ,
Povrch kostí tvoří:,okostice,myofibrily,schwannova pochva,myelinová pochva
Bránice je orgán:,"plochý dýchací sval, oddělující hrudní a břišní část",příklopka bránící vniknutí polykaného sousta do hrtanu,mezihrudí přepážka oddělující pravou a levou plíci,řídký vazivový obal tvořící zevní povrch trávicí trubice,
Nefron je:,základní stavební jednotkou ledvin,základní stavební jednotkou jater,základní stavební jednotkou nervové soustavy,odpadní látka vzniklá při metabolismu,
Žíly v těle vedou krev:,do srdce,ze srdce,oběma směry,pouze do mozku,
Mineralokortikoidy se tvoří v:,kůře nadledvin,ve dřeni nadledvin,šišince,ve štítné žláze,
Houbovce (živočišné houby) dělíme na houby,"vápenaté, křemičité a rohovité","vápenaté, křemičité a strontnaté","vápenaté, rohovité a ostnité","křemičité, strontnaté a uhličité",
Žahavé buňky knidoblasty jsou původu,ektodermálního,entodermálního,mesodermálního,kožního,
Plže dělíme na:,"předožábré, zadožábré a plicnaté","předožábré, středožábré a zadožábré","perožábré, nitkožábré a skulinožábré","předožábré, perožábré a zadožábré",
V ČR se vyskytují mlži těchto rodů:,"škeble (Anodonta), velevrub (Unio), perlorodka (Margaritana)","škeble (Anodonta), velevrub (Unio), perlotvorka (Meleagrina)","velevrub (Unio), perlorodka (Margaritana), škeblovka (Anodontia)","škeble (Anodonta), perlorodka (Margaritana), perlotvorka (Meleagrina)",
Larva mnohoštětinatců se nazývá,trochofora,auplius,zoea,glochidium,
Cévní soustava žížal je,uzavřená,otevřená,není vyvinutá,zaslepená,
"Látka, kterou produkují pijavice a snižuje srážlivost krve se jmenuje:",hirudin,myiozin,pepsin,vascularin,
Mezi parazitické roztoče napadající včelí plod patří:,varroa včelí (Varroa jacobsoni),čmelík včelí (Dermanissus mellificae),zákožka včelí (Sarcoptes apis),skladokaz včelí (Acarus apis),
Larvy korýšů se nazývají:,nauplius a zoea,nauplius a trochofora,zoea a trochofora,trochofora a glochidium,
Partenogeneze je:,rozmnožování samiček bez účasti samečků a z diploidních vajíček se líhnou opět samičky,rozmnožování samiček bez účasti samečků a z diploidních vajíček se líhnou samečci,přeměna části samiček na samečky vlivem nepříznivých životních podmínek,přirozená sterilizace samečků při jejich přemnožení,
Kolik druhů raků je původních pro ČR,2,1,3,4,
Kyvadélka (haltery) jsou:,redukovaný druhý pár křídel u much,zadečkové přívěsky u kobylek,sluchové orgány u cikád,redukovaná makadla u makadlovek,
Cévní soustava hmyzu je:,otevřená,uzavřená,spojitá,zaslepená,
Proměna nedokonalá u hmyzu má vývoj přes:,"vajíčko, nymfu, dospělce","vajíčko, larvu, subimago, dospělce","vajíčko, larvu, nymfu, dospělce","vajíčko, larvu, kuklu, dospělce",
Zakrnělé ústní ústrojí mají dospělci,jepic,vážek,švábů,škvoři,
Hnidy jsou vajíčka:,vší,pisivek,třásněnek,mšic,
Mezi síťokřídlé (Neuroptera) patří,zlatoočka skvrnitá,krásnoočka zelená,maloočka smaragdová,bezočka skvrnitá,
Mezi přirozené bioregulátory škůdců plodin patří brouci čeledi:,střevlíkovití (Carabidae),kovaříkovití (Elateridae),kožojedovití (Dermestidae),tesaříkovití (Cerambycidae),
Chorda dorsalis je:,struna hřbetní,pruh hřbetní,lalok hřbetní,céva hřbetní,
Kopinatci (Cephalochordata) nemají:,chrupavku a kosti,kosti a chordu dorsalis,chrupavku a chordu dorsalis,"chrupavku, kosti a chordu dorsalis",
Larva kruhoústých se nazývá:,minoha,kruhatka,okružanka,nemají larvu,
Žraloci patří mezi:,paryby,bezčelistnatce,pasavce,ryby,
Tuková ploutvička bez paprsků je charakteristickým znakem:,pstruha obecného,kapra obecného,candáta obecného,úhoře říčního,
V ČR se vyskytuje jediný druh želvy:,želva bahenní,želva žlutohnědá,želva mokřadní,ČR se želva nevyskytuje,
Slepýš křehký patří mezi:,ještěry,hady,obojživelníky,červory,
Kolik druhů užovek žije v ČR?,4,1,2,3,
Nekrmivá mláďata mají:,hrabaví,měkkozobí,šplhavci,pěvci,
Mezi vejcorodé patří:,ptakopysk podivný a ježura australská,ježura australská a dikobraz evropský,ježura australská a vačice opossum,ježura australská a medvídek koala,
Vydra říční a jezevec lesní patří mezi:,šelmy,hlodavce,hmyzožravce,chudozubé,
"Tapírovití, nosorožcovití a koňovití patří mezi:",lichokopytníky,sudokopytníky,přežvýkavce,patří každý do jiné skupiny savců,
Muflon patří mezi:,ovce,kozy,skot,mozolnatce,
